Item,Description,Qty,Price
GuitarShredneckJB,"Shredneck Jason Becker Signature Practice Guitar Neck, Shredneck Tuner Tips Black, Gig Bag",1,"TK11,000.00"
EHXBM,"EHX Bass Metaphors EQ, Compression and Distortion",1,"TK10,000.00"
EHXCTWAH,EHX Crying tone Wah Pedal with Calibration,1,"TK7,000.00"
SDVaporTrailAnalogDelay,Seymour Duncan Vapor Trail Analog Delay,1,"TK12,500.00"
Prestige16022,Prestige Heritage Hollow Sunburst Quilted Maple AAA with Original Hardshell Casing,1,"TK135,000.00"
ReverendUNKNOWNHINSON,Reverend UNKNOWN HINSON with Access Gig Bag,1,"TK95,000.00"
Cordoba20TMCE,Cordoba Ukulele 20TM-CE with Original Gig Bag,1,"TK18,000.00"
EHXRS,EHX Ravish Sitar (Sitar Emulation Pedal),1,"TK20,000.00"
AllParts18-VoltBatteryCompartmentEP-2931-023,"18-Volt Deluxe Battery Compartment, Holds 2 9-Volt batteries, 2-3/16"" x 1-15/16"". Built-in terminals and lead wires. Mounting surface must be at least 2-3/4"" x 2-1/4"" (69.85mm x 57.15mm) and 1-1/4"" (31.75mm) depth required.",1,"TK4,000.00"
AllPartsBassNutBN-2864-00T,Nut for 4 string Bass,1,"TK1,550.00"
ReverendKingboltBlackZibraPickups,Reverend Kingbolt Guitar Black with Zibra Pickups with Original Hard Case,1,"TK85,000.00"
Pickup Screw,Pickup Height Screw for Strat Chrome,1,TK50.00
Pickguad,Fender Accessories Standard Telecaster Pickguard - Black 8-Hole,1,"TK3,000.00"
Vocal Booth sE Electronics,sE Electronics Reflexion Filter PRO Portable Vocal Booth,1,"TK36,800.00"
EFfetsController,One Control Iguana Tail Loop,1,"TK11,000.00"
AllParts25KPush/PullPotEP-0225-000,Push/Pull 25K Audio Taper Potentiometer with Nut and Washer,1,"TK1,800.00"
GuitarStrapPW,"Planet Waves 3"" Bass Strap Padded (Black)",1,"TK2,250.00"
XLR Male Jack,Neutrik XLR Male Jack,1,TK850.00
SDSentientn-B,Seymour Duncan Sentient 6 String Neck Humbucker - Black,1,"TK9,000.00"
E-Drums,Pearl E-Pro Live Custom - Quilted Maple Fade,1,"TK325,000.00"
Great River Preamp,Great River ME-1NV Preamp,1,"TK120,000.00"
BassPickupSDSJB-3,Seymour Duncan Jazz Bass® 4-String Quarter Pound SJB-3 Bridge,1,"TK5,575.00"
FernandesRavelleBassDeluxeBlackSatin,Fernandes Ravelle® Bass 4 String Deluxe Black Satin,1,"TK85,000.00"
AllpartsBP-0023-001,"Vintage style stamped bent steel bridge saddles for Stratocaster®, with springs and screws. Set of 6 nickel finished saddles. 2-3/16"" string spacing. 10.9 x 5.5 x 21mm.",1,"TK3,150.00"
SDSH10b-Z,Seymour Duncan SH-10b Full Shred Zebra,1,"TK8,000.00"
